corp_code,fiscal_year,Assets,Liabilities,Equity,Revenue,OperatingIncome,NetIncome,LogAssets,Leverage,ROA,Loss
00367710,2023,217309008513.0,84551635875.0,132757372638.0,216057247215.0,28253714819.0,20625632427.0,26.104586179921057,0.3890848173003463,0.09491383982715157,0.0
00367710,2024,292407975377.0,143110185044.0,149297790333.0,226691392865.0,21119302102.0,16978674472.0,26.401415840021198,0.4894195681888937,0.05806501840488273,0.0
01311408,2022,634913145189.0,320612563898.0,314300581291.0,665248278975.0,38988203638.0,15582712507.0,27.17675404725405,0.5049707449395469,0.024543061716514564,0.0
01311408,2023,1104235205797.0,305137809602.0,799097396195.0,952523315840.0,8772772409.0,5045159766.0,27.73017408982096,0.2763340708574508,0.004568917690283722,0.0
01311408,2024,1290236698738.0,552631250526.0,737605448212.0,299846484651.0,-64719926202.0,-42686351369.0,27.885846804864176,0.42831772733370316,-0.03308412433993868,1.0
01105153,2023,456422079722.0,17613986323.0,438808093399.0,53038372299.0,-19167549522.0,-15873538546.0,26.84668383177029,0.03859144223199811,-0.03477820037906216,1.0
01105153,2024,421690971946.0,19189791718.0,402501180228.0,46829943837.0,-41202116246.0,-36560851475.0,26.7675385887574,0.0455067644190812,-0.08670057911432316,1.0
01784394,2023,73934283329.0,43494937062.0,30439346267.0,28310433178.0,1847006212.0,1437256126.0,25.02644247246729,0.5882918600624284,0.019439643711758957,0.0
01784394,2024,239026712635.0,163553214247.0,75473498388.0,70543551647.0,7157565667.0,25558944983.0,26.199841150979587,0.6842465950521187,0.10692924109293664,0.0
00220613,2023,642480608085.0,197535613796.0,444944994289.0,619052056916.0,157337247358.0,129580237655.0,27.18860247129143,0.30745770582054066,0.2016873910657496,0.0
00220613,2024,691783323885.0,226851563384.0,464931760501.0,552365337649.0,63204878400.0,34685192319.0,27.26253862775998,0.32792285611919597,0.05013880953968466,0.0
00158325,2018,268056186123.0,69699613989.0,198356572134.0,383774178387.0,48605375969.0,38305271430.0,26.314462445196526,0.260018673685888,0.14290015829898917,0.0
00158325,2019,319082830527.0,94901758099.0,224181072428.0,410914933674.0,51340882668.0,40781413459.0,26.48871656285071,0.29742044704273,0.12780823522107115,0.0
00158325,2020,368803630914.0,110002235169.0,258801395745.0,446005796022.0,62718416760.0,47176003670.0,26.633530173791883,0.29826776622665907,0.12791632108687348,0.0
00158325,2021,434270029814.0,132725163672.0,301544866142.0,484797305616.0,72604608652.0,54679028163.0,26.796932366079314,0.30562819112533934,0.12591020427179675,0.0
00158325,2022,481091462120.0,139446697557.0,341644764563.0,479868591387.0,71616495095.0,52697598208.0,26.899323238913595,0.2898548582477596,0.10953758766738514,0.0
00158325,2023,493709695212.0,124109919550.0,369599775662.0,485713636119.0,65329237352.0,56046652275.0,26.925213519879456,0.2513823827111739,0.11352147389152131,0.0
00158325,2024,585667200738.0,168928869777.0,416738330961.0,535031889316.0,86788428829.0,76030945393.0,27.096017548368227,0.2884383307860377,0.129819367205801,0.0
01770203,2023,438033782893.0,217208545827.0,220825237066.0,279366908292.0,31851793726.0,24143455808.0,26.805561874241196,0.49587167545033456,0.055117793994207985,0.0
01770203,2024,575538213000.0,334112538000.0,241425675000.0,500640282000.0,20019112000.0,6641641000.0,27.078571462556464,0.5805219018532832,0.011539878412903923,0.0
00447609,2018,469756137718.0,281845618183.0,187910519535.0,767882469568.0,91029824734.0,81634647434.0,26.875479541079056,0.5999828326930667,0.1737809064732353,0.0
00447609,2019,477943795573.0,198485725797.0,279458069776.0,654853721434.0,62568027030.0,56601199305.0,26.89275898004124,0.41529093511725224,0.1184264757263804,0.0
00447609,2020,561120408493.0,244143135882.0,316977272611.0,721358197178.0,34045702993.0,25903845202.0,27.053201351333808,0.43509936938079785,0.04616450374986343,0.0
00447609,2021,793400422424.0,385423568360.0,407976854064.0,1036962656916.0,71085420062.0,81735535426.0,27.399593877448986,0.485786946246452,0.10301927389486544,0.0
00447609,2022,1007315366070.0,429340136571.0,577975229499.0,1681053919767.0,131267542314.0,140664719735.0,27.638309854489307,0.4262221654039222,0.13964317876316898,0.0
00447609,2023,1089361044645.0,438800022718.0,650561021927.0,1591992250709.0,84792055684.0,84855132551.0,27.716612442715235,0.4028049514667525,0.07789440697198101,0.0
00447609,2024,1319868751137.0,578970235782.0,740898515355.0,1754441744291.0,87053422982.0,77590055772.0,27.908553416626425,0.43865743111445477,0.05878619044898222,0.0
01765256,2023,1710734507031.0,749101897755.0,961632609276.0,1266149070283.0,26689442862.0,10113300697.0,28.167943930494257,0.43788319851867324,0.005911671656493183,0.0
01765256,2024,1835139730494.0,819840114726.0,1015299615768.0,2163761368649.0,77329845672.0,63782304320.0,28.23814174194419,0.4467453355746964,0.03475610236111584,0.0
01765265,2023,3531787086236.0,1810426229169.0,1721360857067.0,2632104129307.0,235489924847.0,142170864518.0,28.89282511549313,0.5126091083532617,0.04025465325247523,0.0
01765265,2024,3194015021446.0,1492183763192.0,1701831258254.0,3527525783006.0,102474077764.0,34835234266.0,28.792299868730346,0.4671811977003339,0.010906409028167103,0.0
01762569,2023,217960142410.0,122971603274.0,94988539136.0,117528614931.0,-6119544615.0,-6205555775.0,26.107578050037862,0.5641930763776105,-0.028471057627255842,1.0
01762569,2024,299546745134.0,177892196843.0,121654548291.0,332069862904.0,14206083843.0,10511891726.0,26.4255363195652,0.5938712395737141,0.035092658814561924,0.0
01760738,2023,1990471193000.0,1006942846000.0,983528347000.0,1288825675000.0,57451316000.0,52204137000.0,28.319392507038906,0.5058816472909388,0.026227024627931906,0.0
01760738,2024,2283045417000.0,1041423355000.0,1241622062000.0,2215285616000.0,110492797000.0,89669461000.0,28.456531376839436,0.45615533849890116,0.03927624931694471,0.0
00480367,2018,538058343411.0,312366745951.0,225691597460.0,143966170303.0,-35331634148.0,-60181098972.0,27.01123283623032,0.5805443773453324,-0.11184864933137967,1.0
00480367,2019,627931343574.0,432152490876.0,195778852698.0,384531743425.0,-20595049708.0,-37129796614.0,27.165696671919033,0.6882161486259238,-0.05913034441419686,1.0
00480367,2020,660044446686.0,426340119488.0,233704327198.0,427239225830.0,29049486060.0,12245484601.0,27.21557301316305,0.6459263790924991,0.0185525151563399,0.0
00480367,2021,739392190185.0,559312172336.0,180080017849.0,503060400073.0,26431994695.0,-86811625287.0,27.329094321025025,0.7564485800100986,-0.11740944310661336,1.0
00480367,2022,1220003934152.0,694046434953.0,525957499199.0,691830139228.0,71940779701.0,28013900233.0,27.829875199383267,0.5688886859495397,0.02296213925938845,0.0
00480367,2023,1431906666880.0,733064705288.0,698841961592.0,925835675846.0,75604296314.0,57548769236.0,27.990028005583127,0.5119500608830073,0.04019030748798297,0.0
00480367,2024,1421941567198.0,708435867254.0,713505699944.0,662615726791.0,41797283162.0,16871459149.0,27.98304435448077,0.498217285151882,0.011865086117600438,0.0
01721809,2023,880317203000.0,251806216000.0,628510987000.0,1826998311000.0,64841641000.0,39327155000.0,27.50354813742385,0.2860403217634269,0.04467384582055021,0.0
01721809,2024,955626273000.0,285404788000.0,670221485000.0,2270420052000.0,96676372000.0,74463529000.0,27.585632745741343,0.29865732668067824,0.07792118226954607,0.0
01722437,2023,1855072139756.0,1026407580504.0,828664559252.0,434495384619.0,9820592817.0,-30102383936.0,28.24894470058811,0.5532979330059934,-0.016227069174765033,1.0
01722437,2024,1887829805034.0,1085300116867.0,802529688167.0,538313690512.0,3129155480.0,-18842499769.0,28.266449033949723,0.5748929876904098,-0.009981037336499009,1.0
00622787,2022,1757001765786.0,156849683848.0,1600152081938.0,479657089813.0,295409547762.0,307797756625.0,28.194629930133573,0.08927121583047062,0.17518352150733654,0.0
00622787,2023,1592842324191.0,36266411140.0,1556575913051.0,90080965589.0,-47041101526.0,-20496527310.0,28.096541161537612,0.02276836231007335,-0.012867894705403516,1.0
00622787,2024,1697157256602.0,61384157458.0,1635773099144.0,102780333919.0,12215167998.0,55261403734.0,28.15997576530154,0.03616880947196467,0.032561156910493265,0.0
01702017,2022,213631274794.0,21499363558.0,192131911236.0,29221282156.0,1427051307.0,959501849.0,26.08751735088935,0.10063771598391373,0.004491392236109749,0.0
01702017,2023,219885414270.0,27993834428.0,191891579842.0,168785613274.0,-4071770040.0,861666713.0,26.11637240338503,0.12731101115068064,0.003918707913667929,0.0
01702017,2024,235451613708.0,40657498508.0,194794115200.0,194894088152.0,3054336971.0,6397032832.0,26.1847712673309,0.1726787846883148,0.027169203605176422,0.0
00525934,2018,607558305864.0,160944737525.0,446613568339.0,791818131828.0,55797058547.0,48960453314.0,27.132713984286507,0.2649041844570338,0.08058560444560796,0.0
00525934,2019,629733290317.0,157526494823.0,472206795494.0,867122049614.0,47254627681.0,38538518233.0,27.168562217991454,0.25014795508699106,0.061198159324878924,0.0
00525934,2020,750602338873.0,218317834580.0,532284504293.0,1161896286020.0,94226639156.0,72528910564.0,27.344141839647005,0.2908568535874744,0.09662761066385607,0.0
00525934,2021,1172530981920.0,372198273673.0,800332708247.0,1898845716028.0,369621952134.0,296424020561.0,27.79018576073011,0.31743150450790775,0.25280698346717506,0.0
00525934,2022,1289618542133.0,339257893379.0,950360648754.0,2119345363613.0,310623962750.0,233692540409.0,27.885367586800278,0.2630684053424628,0.1812105927249447,0.0
00525934,2023,1205064944737.0,228301207505.0,976763737232.0,1901444975029.0,129035656339.0,101203533006.0,27.81755457746613,0.18945137231157755,0.08398180815730825,0.0
00525934,2024,1499801948860.0,420215422354.0,1079586526506.0,1865621538499.0,167076803816.0,130509153930.0,28.036354181226113,0.2801806082952525,0.08701759190885174,0.0
01026157,2022,585713154632.0,338134836141.0,247578318491.0,397560235879.0,9523634592.0,-18137502613.0,27.096096009465533,0.5773044936193179,-0.03096652767581374,1.0
01026157,2023,679023237717.0,467284133227.0,211739104490.0,398471745542.0,-9690085854.0,-42333536519.0,27.243921187361323,0.6881710481633803,-0.062344753710245726,1.0
01026157,2024,631516754233.0,448049075006.0,183467679227.0,431763084374.0,-9800724573.0,-31009006010.0,27.17139030923696,0.7094808997588224,-0.04910242808626916,1.0
00193328,2022,577155431240.0,114148849591.0,463006581649.0,303539437938.0,50593944044.0,41885696489.0,27.081377445410943,0.19777835122465165,0.07257264546399558,0.0
00193328,2023,603244086410.0,104296849542.0,498947236868.0,324740172778.0,50231142470.0,48586664591.0,27.125587738519126,0.17289328132943146,0.08054229736448283,0.0
00193328,2024,623807791230.0,105412955331.0,518394835899.0,316791494897.0,43499599612.0,39354053755.0,27.159108130990816,0.16898306948547537,0.06308682627609252,0.0
01515323,2020,19941795000000.0,12376390000000.0,7565405000000.0,1461068000000.0,-475206000000.0,-451771000000.0,30.623838896470858,0.62062567587321,-0.022654480201004974,1.0
01515323,2021,23764137000000.0,15021764000000.0,8742373000000.0,17851906000000.0,768470000000.0,929868000000.0,30.79919871142815,0.6321190624342891,0.03912904558663334,0.0
01515323,2022,38299445000000.0,17705683000000.0,20593762000000.0,25598609000000.0,1213719000000.0,779826000000.0,31.276456521148535,0.4622960724365588,0.020361287219697308,0.0
01515323,2023,45437144000000.0,21063635000000.0,24373509000000.0,33745470000000.0,2163234000000.0,1637985000000.0,31.44735103625349,0.4635774422793827,0.03604947089104016,0.0
01515323,2024,60306791000000.0,29340248000000.0,30966543000000.0,25619585000000.0,575387000000.0,338602000000.0,31.730465833552678,0.4865164853490546,0.005614657891513412,0.0
01323032,2021,550023979312.0,274551592028.0,275472387284.0,1902394224458.0,71108716318.0,46775528905.0,27.03322771297162,0.4991629498979737,0.08504270843520201,0.0
01323032,2022,534356690809.0,288535623931.0,245821066878.0,2177261973592.0,50047663225.0,30363688765.0,27.004329413236885,0.5399682064318606,0.05682288495167954,0.0
01323032,2023,554118292957.0,319202420548.0,234915872409.0,2047566232203.0,59013290449.0,28365697237.0,27.040644026093577,0.5760546522378938,0.05119068905960338,0.0
01323032,2024,524847598138.0,299060059596.0,225787538542.0,2301530094719.0,68109299938.0,43965329854.0,26.986373768135,0.5698036166250438,0.08376780232962035,0.0
01390344,2020,13799657849000.0,8438873228000.0,5360784621000.0,8312009823000.0,32509061000.0,-431445898000.0,30.255664914233616,0.611527714697037,-0.03126497067688276,1.0
01390344,2021,15078671491000.0,9484646542000.0,5594024949000.0,8311275924000.0,-800262777000.0,-814227962000.0,30.34430237721376,0.6290107552022137,-0.05399865382610052,1.0
01390344,2022,16289398053000.0,11001578566000.0,5287819487000.0,9045480488000.0,-289151153000.0,-352064622000.0,30.421535585926062,0.6753827569444073,-0.02161311430014203,1.0
01390344,2023,17133618109000.0,11926177799000.0,5207440310000.0,11963925991000.0,178639965000.0,24689214000.0,30.472063620731287,0.696068846820823,0.0014409807574169739,0.0
01390344,2024,19390946750000.0,13686498249000.0,5704448501000.0,14486453544000.0,705223483000.0,621509420000.0,30.595827410705926,0.7058189796225396,0.032051525282023687,0.0
00972503,2021,343543079609.0,36385115045.0,307157964564.0,117690718877.0,9802681380.0,8963456196.0,26.562578354454054,0.10591136077143903,0.026091214546372657,0.0
00972503,2022,342505450921.0,27786557872.0,314718893049.0,109080826437.0,2772987763.0,7043344617.0,26.55955340961986,0.08112734497299741,0.02056418254968027,0.0
00972503,2023,338352795709.0,22448808838.0,315903986871.0,78740158706.0,-9799275704.0,1409437797.0,26.547354962362785,0.06634734254510809,0.004165586378698598,0.0
00972503,2024,344277767089.0,26806085878.0,317471681211.0,79297672959.0,-9515638086.0,1816544405.0,26.564714630965394,0.07786179777060742,0.005276391851729424,0.0
00486705,2021,627226321205.0,390590139210.0,236636181995.0,933409934057.0,55310968330.0,32472341903.0,27.164573271309003,0.6227260017717611,0.051771331663211365,0.0
00486705,2022,760228485888.0,522749227264.0,237479258624.0,1056170390159.0,4599028519.0,-4110014852.0,27.35688486437016,0.6876212046348045,-0.005406288935883816,1.0
00486705,2023,995406431200.0,819583798706.0,175822632494.0,956457905420.0,-19057421396.0,-65542964592.0,27.626416964270227,0.823365987014933,-0.06584543010535454,1.0
00486705,2024,961386247104.0,842867833691.0,118518413413.0,999671752739.0,-42399405216.0,-122034432712.0,27.591642087232184,0.8767213346664621,-0.12693590435645025,1.0
00545716,2021,6125007656105.0,4307888147930.0,1054743947272.0,,2422658838497.0,113578198380.0,29.443401122334883,0.7033277980699638,0.018543356148590737,0.0
00545716,2022,6927204106064.0,4946497235880.0,1100852103756.0,,2738939589270.0,88328519054.0,29.566477399824947,0.7140683542946121,0.012750962394290962,0.0
00545716,2023,6718109060318.0,5352827789031.0,1365281271287.0,2752292105099.0,305192202982.0,115205052028.0,29.53582784103243,0.7967759589746263,0.017148434327820632,0.0
00545716,2024,7006616781040.0,5538031329236.0,1468585451804.0,2792395464171.0,284811996731.0,102710507301.0,29.577876072946506,0.7904002034508277,0.014659073060615506,0.0
00534598,2021,214127311865.0,97308908576.0,116818403289.0,121140356659.0,4787002473.0,4835069260.0,26.089836590333345,0.4544441702857128,0.02258034819513518,0.0
00534598,2022,208029841056.0,80099500535.0,127930340521.0,100120112846.0,-1332071025.0,9269405838.0,26.060947372972763,0.38503851239994863,0.04455805855038244,0.0
00534598,2023,182210002869.0,53883062751.0,128326940118.0,112779715327.0,1832106411.0,871118626.0,25.928425720753765,0.2957195648020447,0.004780849636593723,0.0
00534598,2024,198508016060.0,63131348085.0,135376667975.0,104776425927.0,7488962506.0,7335829952.0,26.01409531943208,0.318029212814853,0.036954829823006796,0.0
00760971,2021,5635100724323.0,1026856415552.0,4608244308771.0,,639639249890.0,519877622732.0,29.36003613802948,0.1822250330184411,0.09225702399391592,0.0
00760971,2022,6030311640765.0,917461503208.0,5112850137557.0,,751606569542.0,500154032217.0,29.427819807051094,0.1521416400780925,0.08293999746811608,0.0
00760971,2023,6440456619598.0,881636358567.0,5558820261031.0,1910576180288.0,768045608970.0,594060314352.0,29.493620557195552,0.13689034965071,0.09223885035484954,0.0
00760971,2024,7919463568015.0,1090331965788.0,6829131602227.0,2709774106588.0,1182487684188.0,1302592653712.0,29.700344588149775,0.1376775025762622,0.16447990984804703,0.0
00767460,2018,372365385062.0,113651066761.0,258714318301.0,245472562183.0,60533437916.0,34984082147.0,26.643141427067782,0.3052138338317262,0.09395095127108832,0.0
00767460,2019,392965082107.0,141679218782.0,251285863325.0,223682314032.0,33602431093.0,17717932882.0,26.696986595267806,0.3605389517621882,0.045087804715370626,0.0
00767460,2020,404031458892.0,121144769535.0,282886689357.0,261788779258.0,60009434293.0,41723872018.0,26.724758580420517,0.2998399428282705,0.10326886953907477,0.0
00767460,2021,472959621758.0,147070685808.0,325888935950.0,301868719484.0,75857968702.0,64000019268.0,26.88227585553228,0.3109582278109396,0.13531814625128188,0.0
00767460,2022,498996615717.0,157543399198.0,341453216519.0,276440430491.0,52135089760.0,45710485555.0,26.93586515054467,0.31572037612244824,0.09160480074462901,0.0
00767460,2023,517945909903.0,203026975016.0,314918934887.0,217639383722.0,-3937893712.0,-1795675819.0,26.97313665271696,0.3919848986818383,-0.0034669176542706766,1.0
00767460,2024,527526386235.0,189616842315.0,337909543920.0,251295439548.0,34931839001.0,23377040126.0,26.991464722344187,0.35944522826300934,0.04431444707978286,0.0
00854997,2021,3005125392466.0,801724155092.0,2203401237374.0,2929960839878.0,1364040578912.0,1064432159915.0,28.73134041098723,0.2667855914105823,0.35420557244752077,0.0
00854997,2022,3261922382065.0,315141082903.0,2946781299162.0,2932001440304.0,1146624395447.0,908788681400.0,28.813337825259666,0.09661207287939698,0.27860524407226395,0.0
00854997,2023,3788831050300.0,957284648030.0,2831546402270.0,655676513230.0,-248084569658.0,-467904096959.0,28.96307865744857,0.2526596291365914,-0.12349563513051111,1.0
00854997,2024,3888464488208.0,956183635797.0,2932280852411.0,694573795269.0,-54057345753.0,-98139678410.0,28.9890354625228,0.24590262781020214,-0.025238671642139054,1.0
00564562,2018,391053609043.0,261344619517.0,129708989526.0,696954048288.0,41111698751.0,29818005521.0,26.692110495060252,0.6683089312398156,0.07625042917765587,0.0
00564562,2019,476580873535.0,252013791555.0,224567081980.0,1267712135419.0,113067104268.0,84507307910.0,26.889903269741996,0.5287954375627962,0.17731997359267462,0.0
00564562,2020,453396247933.0,200461504514.0,252934743419.0,1311342738149.0,59167161589.0,38443583445.0,26.840032299584188,0.44213313504002116,0.08479025492659337,0.0
00564562,2021,525527588292.0,226561392084.0,298966196208.0,1009273639991.0,23878951946.0,39505208461.0,26.987668525013834,0.43111227104240096,0.07517247303684776,0.0
00564562,2022,538890010550.0,229823432579.0,309066577971.0,1108637950325.0,10702196295.0,22973446783.0,27.012777324972543,0.42647558514665806,0.04263104962653311,0.0
00564562,2023,535697470080.0,212084767581.0,323612702499.0,932490110758.0,18224255538.0,27923690827.0,27.006835417178905,0.3959039932544906,0.052125859065248026,0.0
00564562,2024,574103551032.0,201879404879.0,372224146153.0,1057058423929.0,44384671816.0,63604930146.0,27.07607561949018,0.35164284303085147,0.11078999604107086,0.0
01568413,2021,1146494709343.0,599071742826.0,547422966517.0,1089172086930.0,322683779494.0,231925929728.0,27.767730324617936,0.522524646598063,0.20229132139729228,0.0
01568413,2022,1570179025400.0,627006736608.0,943172288792.0,1808894546708.0,524882680312.0,442664517277.0,28.08221075770516,0.3993218139239067,0.28191977482582414,0.0
01568413,2023,2005097998970.0,687356585452.0,1317741413518.0,1978495535892.0,551835228989.0,425017760533.0,28.326714052784396,0.3428044842721346,0.21196857248440107,0.0
01568413,2024,2285904738684.0,708606516604.0,1577298222080.0,1896009590086.0,450737459737.0,355959818501.0,28.457783008816083,0.30998952170331745,0.15571944555569134,0.0
01386916,2021,3184524107000.0,968322606000.0,2216201501000.0,603767421000.0,89175689000.0,95350272000.0,28.789323976834375,0.3040713693677182,0.02994176485912217,0.0
01386916,2022,3497335365000.0,1322662099000.0,2174673266000.0,585798633000.0,-52295439000.0,-29681042000.0,28.883022470183693,0.3781913831417766,-0.008486758889935624,1.0
01386916,2023,4083815083000.0,1672154317000.0,2411660766000.0,649568305000.0,32027920000.0,82158002000.0,29.038052736802342,0.409458871916312,0.020117953514106262,0.0
01386916,2024,4150138152000.0,1825581137000.0,2324557015000.0,217864619000.0,-290994179000.0,-246615236000.0,29.05416273925562,0.4398844255630939,-0.05942337988945097,1.0
01319899,2020,562231771504.0,298441527223.0,263790244281.0,225610784857.0,37710447240.0,32889711957.0,27.055180006636,0.5308158349441068,0.05849849408015179,0.0
01319899,2021,2110122672078.0,508810723584.0,1601311948494.0,929000929909.0,474219856324.0,355139276839.0,28.377767200152142,0.24112850419399312,0.16830266862602214,0.0
01319899,2022,2141931383550.0,400229387487.0,1741701996063.0,456725871196.0,115013617843.0,122451949931.0,28.392729053617483,0.18685443920414796,0.057168941484974305,0.0
