corp_code,corp_name,year,rcept_no,rcept_dt,report_nm,keyword_hits,n_keyword_hits,MaterialCorrection
00155212,포스코DX,2024,20240618000197,20240618,[기재정정]사업보고서 (2023.12),재무제표|연결재무제표|손익계산서|재무상태표|매출|영업이익|당기순이익|자산|부채|자본|감사의견|감사인|회계감사|감사용역|비감사용역|최대주주|소액주주|사외이사|이사회|특수관계|관계기업|종속기업|타법인|출자,24,1
00155212,포스코DX,2024,20240313001522,20240313,[기재정정]사업보고서 (2023.12),재무제표|연결재무제표|손익계산서|재무상태표|매출|영업이익|당기순이익|자산|부채|자본|감사의견|감사인|회계감사|감사용역|비감사용역|최대주주|소액주주|사외이사|이사회|특수관계|관계기업|종속기업|타법인|출자,24,1
01311408,에코프로머티,2024,20240417000528,20240417,[기재정정]사업보고서 (2023.12),재무제표|연결재무제표|손익계산서|재무상태표|매출|영업이익|당기순이익|자산|부채|자본|감사의견|감사인|회계감사|감사용역|비감사용역|최대주주|소액주주|사외이사|이사회|특수관계|관계기업|종속기업|타법인|출자,24,1
01770203,조선내화,2024,20240315000658,20240315,[기재정정]사업보고서 (2023.12),재무제표|연결재무제표|손익계산서|재무상태표|매출|영업이익|당기순이익|자산|부채|자본|감사의견|감사인|회계감사|감사용역|비감사용역|최대주주|소액주주|사외이사|이사회|특수관계|관계기업|종속기업|타법인|출자,24,1
00447609,비에이치,2018,20180511003145,20180511,[기재정정]사업보고서 (2017.12),,0,0
00447609,비에이치,2018,20180511002642,20180511,[기재정정]사업보고서 (2017.12),,0,0
00447609,비에이치,2019,20190620000077,20190620,[기재정정]사업보고서 (2018.12),,0,0
00447609,비에이치,2021,20210331002350,20210331,[기재정정]사업보고서 (2020.12),,0,0
00447609,비에이치,2021,20210322000225,20210322,[기재정정]사업보고서 (2020.12),,0,0
01762569,이수스페셜티케미컬,2024,20240411004116,20240411,[기재정정]사업보고서 (2023.12),재무제표|연결재무제표|손익계산서|재무상태표|매출|영업이익|당기순이익|자산|부채|자본|감사의견|감사인|회계감사|감사용역|비감사용역|최대주주|소액주주|사외이사|이사회|특수관계|관계기업|종속기업|타법인|출자,24,1
00480367,SK오션플랜트,2018,20180330002750,20180330,[기재정정]사업보고서 (2017.12),,0,0
00480367,SK오션플랜트,2023,20230831000707,20230831,[기재정정]사업보고서 (2022.12),재무제표|연결재무제표|손익계산서|재무상태표|매출|영업이익|당기순이익|자산|부채|자본|감사의견|감사인|회계감사|감사용역|비감사용역|최대주주|소액주주|사외이사|이사회|특수관계|관계기업|종속기업|타법인|출자,24,1
00622787,바이오노트,2024,20240322000144,20240322,[기재정정]사업보고서 (2023.12),재무제표|연결재무제표|손익계산서|재무상태표|매출|영업이익|당기순이익|자산|부채|자본|감사의견|감사인|회계감사|감사용역|비감사용역|최대주주|소액주주|사외이사|이사회|특수관계|관계기업|종속기업|타법인|출자,24,1
00622787,바이오노트,2024,20240320002051,20240320,[기재정정]사업보고서 (2023.12),재무제표|연결재무제표|손익계산서|재무상태표|매출|영업이익|당기순이익|자산|부채|자본|감사의견|감사인|회계감사|감사용역|비감사용역|최대주주|소액주주|사외이사|이사회|특수관계|관계기업|종속기업|타법인|출자,24,1
01323032,케이카,2023,20230407002574,20230407,[기재정정]사업보고서 (2022.12),재무제표|연결재무제표|손익계산서|재무상태표|매출|영업이익|당기순이익|자산|부채|자본|감사의견|감사인|회계감사|감사용역|비감사용역|최대주주|소액주주|사외이사|이사회|특수관계|관계기업|종속기업|타법인|출자,24,1
01323032,케이카,2024,20240424000584,20240424,[기재정정]사업보고서 (2023.12),재무제표|연결재무제표|손익계산서|재무상태표|매출|영업이익|당기순이익|자산|부채|자본|감사의견|감사인|회계감사|감사용역|비감사용역|최대주주|소액주주|사외이사|이사회|특수관계|관계기업|종속기업|타법인|출자,24,1
00972503,일진하이솔루스,2023,20230315001068,20230315,[기재정정]사업보고서 (2022.12),재무제표|연결재무제표|손익계산서|재무상태표|매출|영업이익|당기순이익|자산|부채|자본|감사의견|감사인|회계감사|감사용역|비감사용역|최대주주|소액주주|사외이사|이사회|특수관계|관계기업|종속기업|타법인|출자,24,1
00545716,롯데렌탈,2018,20180404002530,20180404,[기재정정]사업보고서 (2017.12),,0,0
00545716,롯데렌탈,2019,20190401003474,20190401,[기재정정]사업보고서 (2018.12),,0,0
00545716,롯데렌탈,2021,20210707000505,20210707,[기재정정]사업보고서 (2020.12),,0,0
00545716,롯데렌탈,2021,20210707000485,20210707,[기재정정]사업보고서 (2019.12),,0,0
00545716,롯데렌탈,2021,20210707000453,20210707,[기재정정]사업보고서 (2018.12),,0,0
00545716,롯데렌탈,2022,20220812000791,20220812,[기재정정]사업보고서 (2021.12),재무제표|연결재무제표|손익계산서|재무상태표|매출|영업이익|당기순이익|자산|부채|자본|감사의견|감사인|회계감사|감사용역|비감사용역|최대주주|소액주주|사외이사|이사회|특수관계|관계기업|종속기업|타법인|출자,24,1
00545716,롯데렌탈,2023,20230424000485,20230424,[기재정정]사업보고서 (2022.12),재무제표|연결재무제표|손익계산서|재무상태표|매출|영업이익|당기순이익|자산|부채|자본|감사의견|감사인|회계감사|감사용역|비감사용역|최대주주|소액주주|사외이사|이사회|특수관계|관계기업|종속기업|타법인|출자,24,1
00760971,크래프톤,2018,20180816000192,20180816,[기재정정]사업보고서 (2017.12),,0,0
00760971,크래프톤,2018,20180622000525,20180622,[기재정정]사업보고서 (2017.12),,0,0
00760971,크래프톤,2019,20191107000375,20191107,[기재정정]사업보고서 (2018.12),,0,0
00760971,크래프톤,2019,20190515002199,20190515,[기재정정]사업보고서 (2018.12),,0,0
00760971,크래프톤,2019,20190515001971,20190515,[기재정정]사업보고서 (2017.12),,0,0
00760971,크래프톤,2019,20190515001773,20190515,[기재정정]사업보고서 (2016.12),,0,0
00760971,크래프톤,2019,20190401005084,20190401,[기재정정]사업보고서 (2018.12),,0,0
00760971,크래프톤,2019,20190125000554,20190125,[기재정정]사업보고서 (2017.12),,0,0
00760971,크래프톤,2019,20190125000518,20190125,[기재정정]사업보고서 (2016.12),,0,0
00760971,크래프톤,2020,20200330003881,20200330,[기재정정]사업보고서 (2018.12),,0,0
00760971,크래프톤,2020,20200330003644,20200330,[기재정정]사업보고서 (2017.12),,0,0
00760971,크래프톤,2020,20200330003370,20200330,[기재정정]사업보고서 (2016.12),,0,0
00854997,에스디바이오센서,2021,20210514001634,20210514,[기재정정]사업보고서 (2020.12),,0,0
00854997,에스디바이오센서,2023,20230515000371,20230515,[기재정정]사업보고서 (2022.12),재무제표|연결재무제표|손익계산서|재무상태표|매출|영업이익|당기순이익|자산|부채|자본|감사의견|감사인|회계감사|감사용역|비감사용역|최대주주|소액주주|사외이사|이사회|특수관계|관계기업|종속기업|타법인|출자,24,1
