rcept_no,corp_cls,corp_code,corp_name,se,shrholdr_co,shrholdr_tot_co,shrholdr_rate,hold_stock_co,stock_tot_co,hold_stock_rate,stlm_dt,query_year,endpoint_label
20230310000806,Y,00155212,포스코DX,소액주주,"154,795","154,796",99.99%,"52,631,447","152,034,729",34.62%,2022-12-31,2022,minority_shareholder
20240618000197,Y,00155212,포스코DX,소액주주,"235,155","235,161",99.99%,"49,815,255","151,822,519",32.81%,2023-12-31,2023,minority_shareholder
20250314001261,Y,00155212,포스코DX,소액주주,"228,149","228,155",99.997%,"46,222,623","152,034,729",30.41%,2024-12-31,2024,minority_shareholder
20240320000618,Y,00108612,DS단석,소액주주,"68,372","68,383",99.98%,"1,464,129","5,861,404",24.98%,2023-12-31,2023,minority_shareholder
20250321001800,Y,00108612,DS단석,소액주주,"65,355","65,361",99.99%,"9,894,851","17,584,212",56.27%,2024-12-31,2024,minority_shareholder
20240321000011,Y,00367710,동인기연,소액주주,"12,032","12,033",99.99%,"2,026,041","6,122,641",33.09%,2023-12-31,2023,minority_shareholder
20250320001366,Y,00367710,동인기연,소액주주,"4,613","4,615",99.99%,"1,657,847","5,896,020",28.12%,2024-12-31,2024,minority_shareholder
20230321001386,Y,01311408,에코프로머티,소액주주,131,139,94.2%,"3,729,000","57,902,158",6.4%,2022-12-31,2022,minority_shareholder
20240417000528,Y,01311408,에코프로머티,소액주주,"138,512","138,521",99.99%,"13,085,653","68,985,218",18.97%,2023-12-31,2023,minority_shareholder
20250402002504,Y,01311408,에코프로머티,소액주주,"132,734","132,742",99.9%,"20,198,937","69,738,568",29.0%,2024-12-31,2024,minority_shareholder
20240320001860,Y,01105153,두산로보틱스,소액주주,"286,126","286,129",99.99%,"18,188,265","64,819,980",28.06%,2023-12-31,2023,minority_shareholder
20250321001817,Y,01105153,두산로보틱스,소액주주,"257,174","257,178",99.99%,"17,396,199","64,819,980",26.84%,2024-12-31,2024,minority_shareholder
20240321001878,Y,01784394,STX그린로지스,소액주주,"28,113","28,114",99.99%,"3,868,414","7,171,032",53.94%,2023-12-31,2023,minority_shareholder
20250320001570,Y,01784394,STX그린로지스,소액주주,"20,662","20,665",99.98%,"3,701,781","7,171,032",51.62%,2024-12-31,2024,minority_shareholder
20240321001898,Y,00220613,넥스틸,소액주주,"12,804","12,811",99.95%,"7,535,480","26,002,000",28.98%,2023-12-31,2023,minority_shareholder
20250331002907,Y,00220613,넥스틸,소액주주,"15,765","15,768",99.98%,"9,375,892","26,002,000",36.06%,2024-12-31,2024,minority_shareholder
20190329002018,Y,00158325,NICE평가정보,소액주주,"4,974",-,99.75%,"19,926,504",-,32.81%,2018-12-31,2018,minority_shareholder
20200330001709,Y,00158325,NICE평가정보,소액주주,"6,713",-,99.85%,"21,163,772",-,34.85%,2019-12-31,2019,minority_shareholder
20210317000949,Y,00158325,NICE평가정보,소액주주,"11,305","11,314",99.92%,"23,795,928","60,714,820",39.19%,2020-12-31,2020,minority_shareholder
20220318000520,Y,00158325,NICE평가정보,소액주주,"23,654","23,667",99.94%,"20,287,810","60,714,820",33.41%,2021-12-31,2021,minority_shareholder
20230317000824,Y,00158325,NICE평가정보,소액주주,"22,313","22,323",99.95%,"21,049,763","60,714,820",34.66%,2022-12-31,2022,minority_shareholder
20240319000797,Y,00158325,NICE평가정보,소액주주,"22,144","22,154",99.95%,"22,143,480","60,107,670",36.83%,2023-12-31,2023,minority_shareholder
20250314001653,Y,00158325,NICE평가정보,소액주주,"17,898","17,911",99.92%,"22,280,776","59,506,593",37.44%,2024-12-31,2024,minority_shareholder
20240315000658,Y,01770203,조선내화,소액주주,"9,886","9,891",99.95%,"2,126,305","11,855,168",17.94%,2023-12-31,2023,minority_shareholder
20250311000815,Y,01770203,조선내화,소액주주,"8,295","8,300",99.94%,"2,210,865","11,855,168",18.65%,2024-12-31,2024,minority_shareholder
20190620000077,Y,00447609,비에이치,소액주주,"18,139",-,99.95%,"18,754,810",-,59.8%,2018-12-31,2018,minority_shareholder
20200330000561,Y,00447609,비에이치,소액주주,"18,373",-,99.97%,"20,452,186",-,62.58%,2019-12-31,2019,minority_shareholder
20210331002350,Y,00447609,비에이치,소액주주,"42,198","42,203",99.99%,"21,883,779","33,472,688",65.4%,2020-12-31,2020,minority_shareholder
20220317000686,Y,00447609,비에이치,소액주주,"45,883","45,887",99.99%,"22,872,984","31,223,584",73.25%,2021-12-31,2021,minority_shareholder
20230323000767,Y,00447609,비에이치,소액주주,"26,395","26,408",99.95%,"17,560,028","31,694,322",55.40%,2022-12-31,2022,minority_shareholder
20240321001824,Y,00447609,비에이치,소액주주,"37,155","37,163",99.98%,"20,882,626","31,675,818",65.93%,2023-12-31,2023,minority_shareholder
20250326000026,Y,00447609,비에이치,소액주주,"32,057","32,064",99.98%,"20,043,194","34,464,379",58.16%,2024-12-31,2024,minority_shareholder
20240313000637,Y,01765256,동국씨엠,소액주주,"65,777","65,781",99.99%,"16,548,296","29,898,656",55.35%,2023-12-31,2023,minority_shareholder
20250317000943,Y,01765256,동국씨엠,소액주주,"54,632","54,637",99.99%,"16,237,856","29,898,656",54.31%,2024-12-31,2024,minority_shareholder
20240312000543,Y,01765265,동국제강,소액주주,"70,652","70,660",99.99%,"25,850,132","49,608,017",52.11%,2023-12-31,2023,minority_shareholder
20250317000722,Y,01765265,동국제강,소액주주,"63,528","63,565",99.94%,"24,096,889","49,608,017",48.57%,2024-12-31,2024,minority_shareholder
20240411004116,Y,01762569,이수스페셜티케미컬,소액주주,"53,811","53,822",99.98%,"3,752,840","5,598,773",67.03%,2023-12-31,2023,minority_shareholder
20250320001543,Y,01762569,이수스페셜티케미컬,소액주주,"52,509","52,518",99.98%,"19,229,705","29,938,465",64.23%,2024-12-31,2024,minority_shareholder
20240314000710,Y,01760738,OCI,소액주주,"49,513","49,540",99.95%,"3,487,232","7,436,729",46.89%,2023-12-31,2023,minority_shareholder
20250314001304,Y,01760738,OCI,소액주주,"44,035","44,060",99.95%,"3,784,393","8,952,495",42.27%,2024-12-31,2024,minority_shareholder
20190329001733,Y,00480367,SK오션플랜트,소액주주,"5,109",-,99.8%,"13,234,489",-,50.1%,2018-12-31,2018,minority_shareholder
20200330003171,Y,00480367,SK오션플랜트,소액주주,"4,931",-,99.89%,"15,468,699",-,55.51%,2019-12-31,2019,minority_shareholder
20210318000211,Y,00480367,SK오션플랜트,소액주주,"39,348","39,352",99.98%,"22,030,735","35,092,674",62.77%,2020-12-31,2020,minority_shareholder
20220323001382,Y,00480367,SK오션플랜트,소액주주,"24,509","24,516",99.97%,"20,404,507","36,574,368",55.79%,2021-12-31,2021,minority_shareholder
20230831000707,Y,00480367,SK오션플랜트,소액주주,"42,465","42,470",99.97%,"23,558,220","53,235,012",44.24%,2022-12-31,2022,minority_shareholder
20240320000346,Y,00480367,SK오션플랜트,소액주주,"38,631","38,660",99.92%,"21,806,581","59,195,568",36.84%,2023-12-31,2023,minority_shareholder
20250814001175,Y,00480367,SK오션플랜트,소액주주,"36,415","36,419",99.99%,"20,826,610","59,195,568",35.18%,2024-12-31,2024,minority_shareholder
20240318000716,Y,01721809,현대그린푸드,소액주주,-,-,-,-,-,-,2023-12-31,2023,minority_shareholder
20250314000805,Y,01721809,현대그린푸드,소액주주,-,-,-,-,-,-,2024-12-31,2024,minority_shareholder
20240318000820,Y,01722437,한화갤러리아,소액주주,"179,233","179,238",99.99%,"112,637,623","193,859,610",58.10%,2023-12-31,2023,minority_shareholder
20250317000838,Y,01722437,한화갤러리아,소액주주,"148,892","148,896",99.99%,"88,229,134","196,764,080",44.84%,2024-12-31,2024,minority_shareholder
20210331003006,Y,00622787,바이오노트,소액주주,62,77,80.52%,"156,060","5,847,253",2.67%,2020-12-31,2020,minority_shareholder
20220331002923,Y,00622787,바이오노트,소액주주,156,164,95.12%,"3,995,200","93,556,048",4.27%,2021-12-31,2021,minority_shareholder
20230321001282,Y,00622787,바이오노트,소액주주,"21,976","21,984",99.96%,"14,395,200","101,876,048",14.1%,2022-12-31,2022,minority_shareholder
20240322000144,Y,00622787,바이오노트,소액주주,"14,002","14,009",99.95%,"17,219,797","102,056,048",16.87%,2023-12-31,2023,minority_shareholder
20250318001275,Y,00622787,바이오노트,소액주주,"12,152","12,159",99.94%,"17,459,797","101,363,172",17.22%,2024-12-31,2024,minority_shareholder
20230322000303,Y,01702017,유니드비티플러스,소액주주,"15,479","15,493",99.91%,"5,180,960","10,611,215",48.83%,2022-12-31,2022,minority_shareholder
20240320000313,Y,01702017,유니드비티플러스,소액주주,"9,859","9,876",99.83%,"4,862,153","10,611,215",45.82%,2023-12-31,2023,minority_shareholder
20250319000185,Y,01702017,유니드비티플러스,소액주주,"8,739","8,757",99.79%,"4,668,195","10,611,215",43.99%,2024-12-31,2024,minority_shareholder
20190401002209,Y,00525934,LX세미콘,소액주주,"8,919",-,99.82%,"7,612,055",-,46.79%,2018-12-31,2018,minority_shareholder
20200330002510,Y,00525934,LX세미콘,소액주주,"10,994",-,99.9%,"8,340,232",-,51.29%,2019-12-31,2019,minority_shareholder
20210310001052,Y,00525934,LX세미콘,소액주주,"19,276","19,285",99.95%,"9,038,416","16,264,300",55.57%,2020-12-31,2020,minority_shareholder
20220314000950,Y,00525934,LX세미콘,소액주주,-,-,-,-,-,-,2021-12-31,2021,minority_shareholder
20230315001207,Y,00525934,LX세미콘,소액주주,"59,928","59,936",99.99%,"9,911,366","16,264,300",60.94%,2022-12-31,2022,minority_shareholder
20240313001269,Y,00525934,LX세미콘,소액주주,"50,760","50,764",99.99%,"9,143,536","16,264,300",56.22%,2023-12-31,2023,minority_shareholder
20250312001059,Y,00525934,LX세미콘,소액주주,"46,638","46,646",99.98%,"9,504,776","16,264,300",58.44%,2024-12-31,2024,minority_shareholder
20230322000801,Y,01026157,쏘카,소액주주,"28,893","28,905",99.96%,"7,428,607","32,725,652",22.70%,2022-12-31,2022,minority_shareholder
20240320001168,Y,01026157,쏘카,소액주주,"22,816","22,830",99.94%,"6,575,247","32,788,277",20.05%,2023-12-31,2023,minority_shareholder
20250318001072,Y,01026157,쏘카,소액주주,"15,490","15,529",99.75%,"3,366,246","32,836,902",10.25%,2024-12-31,2024,minority_shareholder
20230323001537,Y,00193328,수산인더스트리,소액주주,"16,587","16,594",99.95%,"4,221,276","14,286,000",29.55%,2022-12-31,2022,minority_shareholder
20240320000834,Y,00193328,수산인더스트리,소액주주,"14,354","14,363",99.94%,"3,827,673","14,286,000",26.79%,2023-12-31,2023,minority_shareholder
20250814003023,Y,00193328,수산인더스트리,소액주주,"12,541","12,550",99.93%,"3,817,899","14,286,000",26.72%,2024-12-31,2024,minority_shareholder
20210317000676,Y,01515323,LG에너지솔루션,소액주주,-,-,-,-,-,-,2020-12-31,2020,minority_shareholder
20220315001026,Y,01515323,LG에너지솔루션,소액주주,-,-,-,-,-,-,2021-12-31,2021,minority_shareholder
20230315001342,Y,01515323,LG에너지솔루션,소액주주,"792,636","792,639",100.00%,"27,812,263","234,000,000",11.89%,2022-12-31,2022,minority_shareholder
20240314001110,Y,01515323,LG에너지솔루션,소액주주,"868,305","868,365",99.99%,"29,538,819","234,000,000",12.62%,2023-12-31,2023,minority_shareholder
20250312000405,Y,01515323,LG에너지솔루션,소액주주,"796,013","796,076",99.99%,"26,413,298","234,000,000",11.29%,2024-12-31,2024,minority_shareholder
20220321001421,Y,01323032,케이카,소액주주,"26,952","26,957",99.9%,"8,914,414","48,086,533",18.55%,2021-12-31,2021,minority_shareholder
20230407002574,Y,01323032,케이카,소액주주,"33,303","33,309",99.99%,"9,244,014","48,086,533",19.24%,2022-12-31,2022,minority_shareholder
20240424000584,Y,01323032,케이카,소액주주,"28,118","28,124",99.99%,"9,192,175","48,182,073",19.09%,2023-12-31,2023,minority_shareholder
20250318000964,Y,01323032,케이카,소액주주,"22,504","22,511",99.97%,"8,944,623","48,182,073",18.56%,2024-12-31,2024,minority_shareholder
20210401001108,Y,01390344,HD현대중공업,소액주주,-,-,-,-,-,-,2020-12-31,2020,minority_shareholder
20220314000704,Y,01390344,HD현대중공업,소액주주,"375,546","375,549",99.99%,"9,675,571","88,773,116",10.90%,2021-12-31,2021,minority_shareholder
20230320000790,Y,01390344,HD현대중공업,소액주주,"230,317","230,319",99.99%,"13,732,371","88,773,116",15.47%,2022-12-31,2022,minority_shareholder
20240318000459,Y,01390344,HD현대중공업,소액주주,"193,806","193,808",99.99%,"14,053,345","88,773,116",15.83%,2023-12-31,2023,minority_shareholder
20250318000897,Y,01390344,HD현대중공업,소액주주,"171,800","171,803",99.99%,"15,104,528","88,773,116",17.01%,2024-12-31,2024,minority_shareholder
20220317000848,Y,00972503,일진하이솔루스,소액주주,"218,906","218,909",100%,"10,361,929","36,313,190",28.53%,2021-12-31,2021,minority_shareholder
20230315001068,Y,00972503,일진하이솔루스,소액주주,"188,776","188,779",26.36%,"9,544,864","36,313,190",26.30%,2022-12-31,2022,minority_shareholder
20240313001276,Y,00972503,일진하이솔루스,소액주주,"170,927","170,930",99.99%,"9,832,148","36,313,190",27.08%,2023-12-31,2023,minority_shareholder
20250312000525,Y,00972503,일진하이솔루스,소액주주,"152,836","152,839",99.99%,"9,789,233","36,313,190",26.96%,2024-12-31,2024,minority_shareholder
20220316000673,Y,00486705,아주스틸,소액주주,"138,156","138,161",99.99%,"8,634,999","26,452,189",32.64%,2021-12-31,2021,minority_shareholder
20230320001066,Y,00486705,아주스틸,소액주주,"118,982","118,990",99.99%,"8,739,397","26,452,189",33.04%,2022-12-31,2022,minority_shareholder
20250321001731,Y,00486705,아주스틸,소액주주,"106,862","106,870",99.99%,"8,801,589","26,452,189",33.27%,2023-12-31,2023,minority_shareholder
20250328001653,Y,00486705,아주스틸,소액주주,"96,596","96,601",99.99%,"9,049,201","26,517,744",34.13%,2024-12-31,2024,minority_shareholder
20210707000453,Y,00545716,롯데렌탈,소액주주,-,-,-,-,-,-,2018-12-31,2018,minority_shareholder
20210707000485,Y,00545716,롯데렌탈,소액주주,-,-,-,-,-,-,2019-12-31,2019,minority_shareholder
20210707000505,Y,00545716,롯데렌탈,소액주주,-,-,-,-,"11,769,200",-,2020-12-31,2020,minority_shareholder
20220812000791,Y,00545716,롯데렌탈,소액주주,"442,308","442,311",99.99%,"13,191,308","36,634,063",36.01%,2021-12-31,2021,minority_shareholder
20230424000485,Y,00545716,롯데렌탈,소액주주,"353,742","353,746",99.99%,"11,185,203","36,634,063",30.53%,2022-12-31,2022,minority_shareholder
20240315000897,Y,00545716,롯데렌탈,소액주주,"308,689","308,693",99.99%,"11,924,638","36,634,063",32.55%,2023-12-31,2023,minority_shareholder
20250314001522,Y,00545716,롯데렌탈,소액주주,"261,907","261,912",99.99%,"10,357,934","36,309,388",28.53%,2024-12-31,2024,minority_shareholder
20260317000759,Y,00534598,한컴라이프케어,소액주주,"60,363","60,367",99.99%,"7,977,667","27,674,406",29%,2021-12-31,2021,minority_shareholder
20230315000557,Y,00534598,한컴라이프케어,소액주주,"49,530","49,534",99.99%,"8,263,397","27,674,406",29.86%,2022-12-31,2022,minority_shareholder
20240313000991,Y,00534598,한컴라이프케어,소액주주,"43,118","43,122",99.99%,"7,961,321","27,674,406",28.76%,2023-12-31,2023,minority_shareholder
20250814000446,Y,00534598,한컴라이프케어,소액주주,"42,898","42,902",99.99%,"14,550,317","27,674,406",52.57%,2024-12-31,2024,minority_shareholder
20200330003881,Y,00760971,크래프톤,소액주주,"1,114",-,98.1%,"1,659,799",-,         21.0 %,2018-12-31,2018,minority_shareholder
20200330004316,Y,00760971,크래프톤,소액주주,"1,178",-,98.33%,"1,808,449",-,22.48%,2019-12-31,2019,minority_shareholder
20210331003279,Y,00760971,크래프톤,소액주주,"2,883","2,903",99.31%,"1,880,985","8,118,485",23.17%,2020-12-31,2020,minority_shareholder
20220314000894,Y,00760971,크래프톤,소액주주,"125,177","125,201",99.98%,"15,639,796","46,799,627",33.42%,2021-12-31,2021,minority_shareholder
20230320000728,Y,00760971,크래프톤,소액주주,"163,239","163,281",99.97%,"17,540,756","46,914,127",37.39%,2022-12-31,2022,minority_shareholder
20240318000420,Y,00760971,크래프톤,소액주주,"131,722","131,766",99.97%,"18,517,374","46,212,122",40.07%,2023-12-31,2023,minority_shareholder
20250318001121,Y,00760971,크래프톤,소액주주,"95,738","95,780",99.96%,"20,232,932","45,462,100",44.51%,2024-12-31,2024,minority_shareholder
20190401003783,Y,00767460,PI첨단소재,소액주주,-,-,-,-,-,-,2018-12-31,2018,minority_shareholder
20200330003343,Y,00767460,PI첨단소재,소액주주,-,-,-,-,-,-,2019-12-31,2019,minority_shareholder
20210311000048,Y,00767460,PI첨단소재,소액주주,"27,702","27,727",99.91%,"11,008,831","29,366,322",37.49%,2020-12-31,2020,minority_shareholder
20220316000360,Y,00767460,PI첨단소재,소액주주,"44,494","44,529",99.92%,"11,016,013","29,366,322",37.51%,2021-12-31,2021,minority_shareholder
20230315000084,Y,00767460,PI첨단소재,소액주주,"39,082","39,109",99.03%,"11,527,586","29,366,322",39.25%,2022-12-31,2022,minority_shareholder
20240312000215,Y,00767460,PI첨단소재,소액주주,"37,426","37,430",99.98%,"11,561,491","29,366,322",39.36%,2023-12-31,2023,minority_shareholder
20250313000132,Y,00767460,PI첨단소재,소액주주,"34,184","34,188",99.98%,"11,641,972","29,366,322",39.64%,2024-12-31,2024,minority_shareholder
20210514001634,Y,00854997,에스디바이오센서,소액주주,246,270,91.48%,"10,051,308","93,317,753",10.77%,2020-12-31,2020,minority_shareholder
20250822000031,Y,00854997,에스디바이오센서,소액주주,"186,455","186,467",99.99%,"26,275,913","101,141,466",25.98%,2021-12-31,2021,minority_shareholder
20250822000225,Y,00854997,에스디바이오센서,소액주주,"133,565","133,572",99.9%,"32,080,682","102,253,466",31.4%,2022-12-31,2022,minority_shareholder
20250822000247,Y,00854997,에스디바이오센서,소액주주,"127,533","127,539",99.9%,"30,019,108","122,347,466",24.5%,2023-12-31,2023,minority_shareholder
20250822000274,Y,00854997,에스디바이오센서,소액주주,"114,025","114,033",99.9%,"29,435,163","124,477,353",23.6%,2024-12-31,2024,minority_shareholder
20190329000274,Y,00564562,엠씨넥스,소액주주,"7,978",-,99.88%,"8,001,094",-,46.44%,2018-12-31,2018,minority_shareholder
20200330004648,Y,00564562,엠씨넥스,소액주주,"12,771",-,99.92%,"10,312,230",-,57.72%,2019-12-31,2019,minority_shareholder
20210315000830,Y,00564562,엠씨넥스,소액주주,"52,564","52,569",99.99%,"12,009,835","17,863,482",67.23%,2020-12-31,2020,minority_shareholder
20220315000841,Y,00564562,엠씨넥스,소액주주,"74,123","74,127",99.99%,"12,533,611","17,973,432",69.73%,2021-12-31,2021,minority_shareholder
20230314000700,Y,00564562,엠씨넥스,소액주주,"74,248","74,252",99.99%,"12,081,177","17,977,732",67.20%,2022-12-31,2022,minority_shareholder
20240318000671,Y,00564562,엠씨넥스,소액주주,"66,777","66,781",99.99%,"12,895,172","17,977,732",71.73%,2023-12-31,2023,minority_shareholder
20250318001032,Y,00564562,엠씨넥스,소액주주,"58,267","58,273",99.99%,"11,924,514","17,977,732",66.33%,2024-12-31,2024,minority_shareholder
